    iterations,fitness,time,samples,keep,m,trial
2600,0.0451695435276,1465.73489648,100,50,0.1,1
2610,0.0432973855806,1470.29579241,100,50,0.1,1
2620,0.0422977199604,1474.71178457,100,50,0.1,1
2630,0.0443962220317,1479.2473893,100,50,0.1,1
2640,0.0434567422774,1483.90399927,100,50,0.1,1
2650,0.0432879633969,1488.48605382,100,50,0.1,1
2660,0.0445642302982,1493.4810632,100,50,0.1,1
2670,0.0433550315755,1498.20837006,100,50,0.1,1
2680,0.0430564472896,1502.6930294,100,50,0.1,1
2690,0.0422500498087,1507.51863838,100,50,0.1,1
2700,0.0445338701161,1512.15002972,100,50,0.1,1
2710,0.0429952595084,1516.66551363,100,50,0.1,1
2720,0.0419502473132,1521.20779864,100,50,0.1,1
2730,0.0428635212738,1525.89258916,100,50,0.1,1
2740,0.0424432960334,1530.3158113,100,50,0.1,1
2750,0.0421680083984,1534.76712219,100,50,0.1,1
2760,0.0426073835314,1539.37738544,100,50,0.1,1
2770,0.0428650095244,1543.92159199,100,50,0.1,1
2780,0.0437106503103,1548.48566433,100,50,0.1,1
2790,0.0428606213481,1552.95221983,100,50,0.1,1
2800,0.0448247441679,1557.50007605,100,50,0.1,1
2810,0.0435853923428,1561.9354802,100,50,0.1,1
2820,0.0424448426182,1566.45584861,100,50,0.1,1
2830,0.0444087700235,1570.99013893,100,50,0.1,1
2840,0.0430425021718,1575.61603648,100,50,0.1,1
2850,0.0435420334978,1580.21773149,100,50,0.1,1
2860,0.0420512024419,1584.79190292,100,50,0.1,1
2870,0.0441947457792,1589.26660391,100,50,0.1,1
2880,0.0432485126797,1593.73370849,100,50,0.1,1
2890,0.0421576012654,1598.31725662,100,50,0.1,1
2900,0.0426764199099,1602.81301954,100,50,0.1,1
2910,0.0432361056774,1607.40885983,100,50,0.1,1
2920,0.0436388871849,1611.7920552,100,50,0.1,1
2930,0.0426301011157,1616.34789321,100,50,0.1,1
2940,0.0430282206468,1620.87227537,100,50,0.1,1
2950,0.0428092312663,1625.26526463,100,50,0.1,1
2960,0.0437072698995,1629.88823683,100,50,0.1,1
2970,0.0436118308479,1634.34849937,100,50,0.1,1
2980,0.0448442485972,1638.8147297,100,50,0.1,1
2990,0.0433505416208,1643.31041388,100,50,0.1,1
