iterations,fitness,time,samples,keep,m,trial
3180,53.0,101.32666236,100,50,0.1,1
3190,53.0,101.814975176,100,50,0.1,1
3200,53.0,102.210022727,100,50,0.1,1
3210,54.0,102.632899246,100,50,0.1,1
3220,53.0,102.966896068,100,50,0.1,1
3230,53.0,103.416088492,100,50,0.1,1
3240,54.0,103.921923376,100,50,0.1,1
3250,53.0,104.385388603,100,50,0.1,1
3260,58.0,104.784762364,100,50,0.1,1
3270,58.0,105.539068129,100,50,0.1,1
3280,54.0,105.855959587,100,50,0.1,1
3290,53.0,106.300033528,100,50,0.1,1
3300,58.0,106.798142872,100,50,0.1,1
3310,54.0,107.230880649,100,50,0.1,1
3320,53.0,107.958525752,100,50,0.1,1
3330,53.0,108.580914957,100,50,0.1,1
3340,53.0,109.281457514,100,50,0.1,1
3350,54.0,110.023603144,100,50,0.1,1
3360,53.0,110.797319068,100,50,0.1,1
3370,53.0,111.339321966,100,50,0.1,1
3380,53.0,112.144526134,100,50,0.1,1
3390,53.0,113.116436693,100,50,0.1,1
3400,53.0,113.852319483,100,50,0.1,1
3410,58.0,114.779421681,100,50,0.1,1
3420,53.0,115.269573109,100,50,0.1,1
3430,58.0,115.589340387,100,50,0.1,1
3440,53.0,115.881325398,100,50,0.1,1
3450,58.0,116.311549688,100,50,0.1,1
3460,58.0,116.591451093,100,50,0.1,1
3470,53.0,116.877290075,100,50,0.1,1
3480,58.0,117.224325014,100,50,0.1,1
3490,58.0,117.706204575,100,50,0.1,1
3500,58.0,118.079965048,100,50,0.1,1
3510,53.0,118.417740767,100,50,0.1,1
3520,54.0,118.900131318,100,50,0.1,1
3530,53.0,119.211390712,100,50,0.1,1
3540,54.0,119.718913967,100,50,0.1,1
3550,53.0,119.954337727,100,50,0.1,1
3560,53.0,120.200117628,100,50,0.1,1
3570,53.0,120.428779595,100,50,0.1,1
3580,53.0,120.658205926,100,50,0.1,1
3590,54.0,120.856084813,100,50,0.1,1
3600,54.0,121.067595097,100,50,0.1,1
3610,53.0,121.291167905,100,50,0.1,1
3620,54.0,121.491099529,100,50,0.1,1
3630,53.0,121.685594485,100,50,0.1,1
3640,58.0,121.888850796,100,50,0.1,1
3650,58.0,122.072745472,100,50,0.1,1
3660,60.0,122.275998626,100,50,0.1,1
3670,53.0,122.463546291,100,50,0.1,1
3680,53.0,122.653619358,100,50,0.1,1
3690,53.0,122.840251387,100,50,0.1,1
3700,53.0,123.092752599,100,50,0.1,1
3710,53.0,123.269585445,100,50,0.1,1
3720,53.0,123.460890124,100,50,0.1,1
3730,53.0,123.660234054,100,50,0.1,1
