iterations,fitness,time,samples,keep,m,trial
330,761.0,555.395215856,100,50,0.3,1
340,763.0,570.947366793,100,50,0.3,1
350,763.0,586.521704271,100,50,0.3,1
360,763.0,601.677031364,100,50,0.3,1
370,763.0,616.833002319,100,50,0.3,1
380,763.0,632.527593232,100,50,0.3,1
390,763.0,647.924093519,100,50,0.3,1
400,762.0,663.151856474,100,50,0.3,1
410,763.0,678.344677697,100,50,0.3,1
420,761.0,694.565589303,100,50,0.3,1
430,761.0,710.079982647,100,50,0.3,1
440,763.0,725.481759153,100,50,0.3,1
450,761.0,740.823820148,100,50,0.3,1
460,761.0,756.032463155,100,50,0.3,1
470,761.0,771.244178584,100,50,0.3,1
480,761.0,786.899447915,100,50,0.3,1
490,763.0,802.245759047,100,50,0.3,1
500,761.0,817.543843303,100,50,0.3,1
510,761.0,832.766031374,100,50,0.3,1
520,763.0,848.131899208,100,50,0.3,1
530,763.0,863.285741154,100,50,0.3,1
540,763.0,878.593096887,100,50,0.3,1
550,761.0,893.760709527,100,50,0.3,1
560,763.0,909.173082108,100,50,0.3,1
570,761.0,924.22009222,100,50,0.3,1
580,763.0,939.660176265,100,50,0.3,1
590,763.0,955.017720788,100,50,0.3,1
600,763.0,970.137347888,100,50,0.3,1
610,763.0,985.65683505,100,50,0.3,1
620,763.0,1001.52744802,100,50,0.3,1
630,763.0,1016.58637892,100,50,0.3,1
640,763.0,1031.47511534,100,50,0.3,1
650,763.0,1046.48809154,100,50,0.3,1
660,763.0,1061.69444231,100,50,0.3,1
670,761.0,1077.09390942,100,50,0.3,1
680,765.0,1092.65971628,100,50,0.3,1
690,761.0,1108.09096569,100,50,0.3,1
700,763.0,1123.77017376,100,50,0.3,1
710,765.0,1139.20171425,100,50,0.3,1
720,763.0,1154.74852301,100,50,0.3,1
730,761.0,1170.29313553,100,50,0.3,1
740,765.0,1186.3925674,100,50,0.3,1
750,763.0,1201.85463742,100,50,0.3,1
760,763.0,1216.87819819,100,50,0.3,1
770,767.0,1232.70142472,100,50,0.3,1
780,761.0,1248.284822,100,50,0.3,1
790,761.0,1263.16882028,100,50,0.3,1
800,765.0,1278.39925518,100,50,0.3,1
810,763.0,1295.13620605,100,50,0.3,1
820,763.0,1310.65044745,100,50,0.3,1
830,763.0,1325.78870766,100,50,0.3,1
840,763.0,1340.84584157,100,50,0.3,1
850,761.0,1356.4156375,100,50,0.3,1
860,763.0,1372.00800219,100,50,0.3,1
870,761.0,1387.02907205,100,50,0.3,1
880,763.0,1403.13822475,100,50,0.3,1
890,763.0,1418.3849175,100,50,0.3,1
900,765.0,1434.03219631,100,50,0.3,1
910,763.0,1449.22319575,100,50,0.3,1
920,761.0,1464.38289691,100,50,0.3,1
930,761.0,1480.57692878,100,50,0.3,1
940,763.0,1496.04442964,100,50,0.3,1
950,767.0,1511.49851039,100,50,0.3,1
960,765.0,1526.97149939,100,50,0.3,1
970,767.0,1542.64547829,100,50,0.3,1
980,765.0,1557.63648155,100,50,0.3,1
990,763.0,1572.73557851,100,50,0.3,1
1000,763.0,1589.0368064,100,50,0.3,1
1010,763.0,1604.24372954,100,50,0.3,1
1020,765.0,1619.96489668,100,50,0.3,1
1030,763.0,1635.35860767,100,50,0.3,1
